
William,Shakespeare,English,Male,Plays and poetry,Romeo and Juliet,40,
Agatha,Christie,British,Female,Murder and mistery,The Hercule Poirot Series,60,
Dan,Brown,American,Male,Thriller,The Da Vinci code,20,
Lev,Tolstoy,Russian,Male,Novels,War and Peace,63,
Joanne,Rowling,British,Female,Novels,The Harry Potter Series,20,
William,Shakespeare,English,Male,Plays and poetry,Romeo and Juliet,40,
Agatha,Christie,British,Female,Murder and mistery,The Hercule Poirot Series,60,
Dan,Brown,American,Male,Thriller,The Da Vinci code,20,
Lev,Tolstoy,Russian,Male,Novels,War and Peace,63,
Joanne,Rowling,British,Female,Novels,The Harry Potter Series,20,
William,Shakespeare,English,Male,Plays and poetry,Romeo and Juliet,40
Agatha,Christie,British,Female,Murder and mistery,The Hercule Poirot Series,60
Dan,Brown,American,Male,Thriller,The Da Vinci code,20
Lev,Tolstoy,Russian,Male,Novels,War and Peace,63
Joanne,Rowling,British,Female,Novels,The Harry Potter Series,20
